INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,UNEMP_RATE,MN_EARN_WNE_P10
Lyon College,Batesville,AR,35.778934,-91.628115,1109,690,471,33605,NULL,3.190000057,41800
Arkansas College of Barbering and Hair Design,North Little Rock,AR,34.753621,-92.266336,NULL,204,67,NULL,20049,4.429999828,19600
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,35.379955,-94.410967,NULL,46,46,NULL,13856,3.210000038,15200
University of Arkansas,Fayetteville,AR,36.06153,-94.178214,1155,21405,12502,20350,NULL,3.799999952,49100
University of Arkansas at Pine Bluff,Pine Bluff,AR,34.242192,-92.021263,886,2391,2926,15409,NULL,5.320000172,30300
Arkansas State University-Beebe,Beebe,AR,35.074512,-91.896165,NULL,2999,4899,12278,NULL,4.239999771,37100
Arkansas State University-Main Campus,Jonesboro,AR,35.842779,-90.680478,1088,9139,9289,19359,NULL,3.75,35600
Arkansas Tech University,Russellville,AR,35.295227,-93.13233,1010,8845,4675,16518,NULL,3.450000048,37000
University of Arkansas at Monticello,Monticello,AR,33.589788,-91.812971,NULL,2885,2135,16071,NULL,4.650000095,34600
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,34.8918,-92.102284,NULL,56,54,NULL,13077,3.869999886,16800
Baptist Health College-Little Rock,Little Rock,AR,34.713115,-92.40692,990,802,567,24397,NULL,3.690000057,44900
Black River Technical College,Pocahontas,AR,36.239793,-90.951033,NULL,1547,1239,11865,NULL,3.460000038,30300
University of Central Arkansas,Conway,AR,35.078196,-92.45931,1049,9232,7471,18354,NULL,3.650000095,40400
Central Baptist College,Conway,AR,35.084574,-92.444102,985,788,381,21616,NULL,3.410000086,35200
Cossatot Community College of the University of Arkansas,De Queen,AR,34.043389,-94.3673,NULL,1033,815,11917,NULL,3.140000105,27800
Crowley's Ridge College,Paragould,AR,36.066239,-90.58482,NULL,173,169,18743,NULL,3.460000038,37900
Crowley's Ridge Technical Institute,Forrest City,AR,35.041908,-90.767807,NULL,212,141,7901,NULL,4.96999979,22100
East Arkansas Community College,Forrest City,AR,35.039673,-90.767445,NULL,732,1358,9084,NULL,5.320000172,24800
Eastern College of Health Vocations-Little Rock,Little Rock,AR,34.75126,-92.341981,NULL,205,292,NULL,15156,4.429999828,19500
Imagine-Paul Mitchell Partner School,North Little Rock,AR,34.791306,-92.221304,NULL,398,20,NULL,19806,3.690000057,PrivacySuppressed
National Park Community College,Hot Springs,AR,34.512731,-93.117111,NULL,2269,2231,13433,NULL,2.910000086,28600
University of Arkansas Community College-Batesville,Batesville,AR,35.79293,-91.616123,NULL,1067,1024,8037,NULL,3.49000001,29100
Harding University,Searcy,AR,35.249605,-91.729008,1131,4485,3982,26484,NULL,3.650000095,43600
Henderson State University,Arkadelphia,AR,34.127792,-93.060313,989,3226,3182,18679,NULL,3.289999962,37900
Hendrix College,Conway,AR,35.09972,-92.442021,1244,1322,1129,52536,NULL,3.200000048,46400
Hot Springs Beauty College,Hot Springs,AR,34.496287,-93.038381,NULL,43,57,NULL,14344,2.799999952,PrivacySuppressed
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,34.187831,-92.018045,NULL,73,41,NULL,NULL,3.970000029,PrivacySuppressed
John Brown University,Siloam Springs,AR,36.191077,-94.559088,NULL,1742,1404,34776,NULL,2.920000076,54300
Lees School of Cosmetology,North  Little Rock,AR,34.781993,-92.296729,NULL,28,40,NULL,16592,2.950000048,PrivacySuppressed
Career Academy of Hair Design,Springdale,AR,36.16757,-94.131834,NULL,344,35,NULL,17987,3.410000086,PrivacySuppressed
Academy of Salon and Spa,Fort Smith,AR,35.380891,-94.416327,NULL,102,22,NULL,17374,3.549999952,PrivacySuppressed
Arkansas State University Mid-South,West Memphis,AR,35.145736,-90.22285,NULL,1127,185,14258,NULL,4.28000021,25800
Arkansas Northeastern College,Blytheville,AR,35.897362,-89.922491,NULL,1037,1980,13646,NULL,4.630000114,27100
Margaret's Hair Academy Inc,Monticello,AR,33.629169,-91.7887,NULL,45,NULL,NULL,15599,4.070000172,PrivacySuppressed
New Tyler Barber College Inc,North Little Rock,AR,34.759076,-92.254108,NULL,67,60,NULL,18103,4.400000095,18600
North Arkansas College,Harrison,AR,36.220528,-93.087317,NULL,1662,1817,9482,NULL,3.039999962,27900
Northwest Technical Institute,Springdale,AR,36.178617,-94.116433,NULL,267,1755,8533,NULL,3.640000105,31000
Ouachita Baptist University,Arkadelphia,AR,34.125045,-93.052442,1112,1455,1714,32560,NULL,3.160000086,41900
College of the Ouachitas,Malvern,AR,34.378745,-92.821416,NULL,810,829,12227,NULL,2.970000029,28100
Ozarka College,Melbourne,AR,36.053031,-91.896355,NULL,1065,737,11592,NULL,2.539999962,27900
University of the Ozarks,Clarksville,AR,35.477785,-93.467924,1061,578,622,35438,NULL,3.480000019,38300
University of Arkansas Community College-Morrilton,Morrilton,AR,35.172136,-92.728507,930,1920,1142,10722,NULL,3.660000086,29700
Philander Smith College,Little Rock,AR,34.73666,-92.28242,NULL,565,845,25061,NULL,5.079999924,27900
Phillips Community College of the University of Arkansas,Helena,AR,34.544976,-90.617745,NULL,769,2364,9886,NULL,4.909999847,24400
Southeast Arkansas College,Pine Bluff,AR,34.209797,-92.024731,NULL,1322,1955,8507,NULL,4.670000076,28800
Professional Cosmetology Education Center,El Dorado,AR,33.215124,-92.663131,NULL,47,72,NULL,11084,4.059999943,16200
Pulaski Technical College,North Little Rock,AR,34.78243,-92.299729,NULL,8364,893,15082,NULL,3.829999924,30900
University of Arkansas Community College-Hope,Hope,AR,33.64791,-93.584528,NULL,1078,1176,14467,NULL,3.650000095,26300
Rich Mountain Community College,Mena,AR,34.590793,-94.2197,NULL,533,943,12005,NULL,2.890000105,25300
Paul Mitchell the School-Arkansas,Fayetteville,AR,36.12681,-94.154191,NULL,118,27,NULL,28457,4.429999828,PrivacySuppressed
Searcy Beauty College,Searcy,AR,35.237723,-91.73454,NULL,59,63,NULL,22625,5.599999905,15000
Shorter College,N Little Rock,AR,34.75933,-92.261331,NULL,403,NULL,18205,NULL,NULL,NULL
Williams Baptist College,Walnut Ridge,AR,36.126825,-90.939876,983,508,660,23161,NULL,3.380000114,34400
South Arkansas Community College,El Dorado,AR,33.209446,-92.666087,NULL,1341,905,15979,NULL,4.079999924,29300
Southern Arkansas University Main Campus,Magnolia,AR,33.291195,-93.235087,989,2784,2781,18887,NULL,4.050000191,38100
Southern Arkansas University Tech,Camden,AR,33.63037,-92.719498,NULL,732,790,15573,NULL,4.460000038,31300
Velvatex College of Beauty Culture,Little Rock,AR,34.735724,-92.289758,NULL,25,22,NULL,7203,4.599999905,PrivacySuppressed
University of Arkansas-Fort Smith,Fort Smith,AR,35.385345,-94.374073,NULL,5990,5286,13983,NULL,3.24000001,33500
Academy of Art University,San Francisco,CA,37.787748,-122.400686,NULL,9885,5294,35919,NULL,3.349999905,44900
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,38.59172,-121.281506,NULL,500,476,27550,NULL,4.559999943,42800
Academy of Chinese Culture and Health Sciences,Oakland,CA,37.806662,-122.272733,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,33.728895,-117.987666,NULL,14,232,NULL,27232,4.650000095,30800
Avalon School of Cosmetology-Alameda,Alameda,CA,37.764203,-122.243566,NULL,253,100,NULL,15359,4.659999847,24900
College of Alameda,Alameda,CA,37.78239,-122.279261,NULL,5141,5088,10898,NULL,4.400000095,36400
Allan Hancock College,Santa Maria,CA,34.942979,-120.421486,NULL,9738,12110,11111,NULL,4.599999905,33900
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,34.095315,-118.344097,NULL,280,215,51614,NULL,3.859999895,35300
American Baptist Seminary of the West,Berkeley,CA,37.865252,-122.256149,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Film Institute Conservatory,Los Angeles,CA,34.10846,-118.309989,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
American Beauty College,West Covina,CA,33.884391,-118.125036,NULL,97,23,NULL,16732,NULL,PrivacySuppressed
American Career College-Los Angeles,Los Angeles,CA,34.079236,-118.292282,NULL,1613,1383,NULL,22679,5.590000153,32900
American Conservatory Theater,San Francisco,CA,37.787326,-122.404945,NULL,0,10,NULL,NULL,2.809999943,PrivacySuppressed
American River College,Sacramento,CA,38.649734,-121.346012,NULL,26803,28420,12513,NULL,4.409999847,34800
Antelope Valley College,Lancaster,CA,34.676207,-118.186166,NULL,12367,10315,11616,NULL,6.349999905,33100
Art Center College of Design,Pasadena,CA,34.170844,-118.186901,NULL,1814,1358,57738,NULL,3.75999999,60800
Associated Technical College-Los Angeles,Los Angeles,CA,34.055987,-118.27243,NULL,361,362,NULL,22722,6.179999828,28100
Associated Technical College-San Diego,San Diego,CA,32.715658,-117.158203,NULL,119,184,NULL,26306,4.659999847,21900
Azusa Pacific University,Azusa,CA,34.130865,-117.88795,1037,5918,3453,45472,NULL,3.829999924,53300
Bakersfield College,Bakersfield,CA,35.4108,-118.973491,NULL,16982,14466,10060,NULL,7.829999924,34900
Barstow Community College,Barstow,CA,34.871451,-117.02523,NULL,1588,2785,14455,NULL,5.269999981,35500
Bellus Academy-National City,National City,CA,32.676762,-117.090235,NULL,177,146,NULL,27833,4.559999943,19300
Bethesda University,Anaheim,CA,33.842295,-117.941323,NULL,261,1736,13885,NULL,4.119999886,PrivacySuppressed
Biola University,La Mirada,CA,33.904823,-118.017342,1122,4364,2797,46162,NULL,3.630000114,46700
Brooks Institute,Ventura,CA,34.33851,-119.295231,NULL,415,642,32323,NULL,3.460000038,34300
Brownson Technical School,Anaheim,CA,33.819,-117.906409,NULL,46,91,NULL,26820,3.940000057,42600
Bryan University,Los Angeles,CA,34.061406,-118.302882,NULL,1324,210,23190,NULL,5,43500
Butte College,Oroville,CA,39.649116,-121.644691,NULL,11164,11542,11324,NULL,5.389999866,35800
Phillips Graduate Institute,Chatsworth,CA,34.24203,-118.567631,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Institute of Integral Studies,San Francisco,CA,37.774768,-122.416537,NULL,104,32,NULL,NULL,3.24000001,PrivacySuppressed
Cabrillo College,Aptos,CA,36.9891,-121.927926,NULL,12423,12807,14153,NULL,4.53000021,40500
California Baptist University,Riverside,CA,33.928569,-117.42587,976,6435,1524,39523,NULL,4.420000076,43800
California College of the Arts,San Francisco,CA,37.76723,-122.399941,NULL,1512,1084,55398,NULL,3.5,45500
University of California-Hastings College of Law,San Francisco,CA,37.780718,-122.415395,NULL,NULL,NULL,NULL,NULL,3.470000029,116300
California Institute of Technology,Pasadena,CA,34.139275,-118.12574,1545,983,929,58755,NULL,3.140000105,90300
California Lutheran University,Thousand Oaks,CA,34.225551,-118.879467,1109,2799,1816,50425,NULL,3.400000095,55500
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,35.29889,-120.65856,1234,19177,15867,24218,NULL,3.680000067,67400
Alliant International University-San Diego,San Diego,CA,32.897056,-117.094398,NULL,236,NULL,30066,NULL,3.829999924,60600
California State University-Bakersfield,Bakersfield,CA,35.350005,-119.104711,NULL,7524,4809,15975,NULL,6.599999905,47700
California State University-Stanislaus,Turlock,CA,37.52577,-120.852511,NULL,7844,5353,16190,NULL,6.519999981,45100
California State University-San Bernardino,San Bernardino,CA,34.182987,-117.322508,884,16439,10273,16206,NULL,5.079999924,46100
California State Polytechnic University-Pomona,Pomona,CA,34.054273,-117.819019,1074,22269,16436,19042,NULL,4.309999943,54400
California State University-Chico,Chico,CA,39.728003,-121.846333,996,15844,13907,21715,NULL,4.510000229,50300
California State University-Dominguez Hills,Carson,CA,33.86524,-118.259316,NULL,12199,7733,12399,NULL,5.570000172,45400
California State University-Fresno,Fresno,CA,36.814477,-119.748258,910,20128,15413,16316,NULL,6.599999905,46600
California State University-Fullerton,Fullerton,CA,33.883627,-117.885349,1021,32610,23385,15627,NULL,3.930000067,49000
California State University-East Bay,Hayward,CA,37.65707,-122.058073,NULL,12275,9337,19793,NULL,3.74000001,55000
California State University-Long Beach,Long Beach,CA,33.782752,-118.1123,1054,31494,25153,17779,NULL,4.389999866,50400
California State University-Los Angeles,Los Angeles,CA,34.066927,-118.168965,871,20643,13476,13479,NULL,5.190000057,46100
California State University-Northridge,Northridge,CA,34.23671,-118.526817,914,35409,22553,18665,NULL,4.860000134,47100
California State University-Sacramento,Sacramento,CA,38.55745,-121.42194,937,26400,20342,18241,NULL,4.409999847,49900
