INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
Centenary College of Louisiana,Shreveport,LA,71134-1188,1,3,4,2,22,5,32.483004,-93.731518,21,12,8,0.6567,530,520,NULL,25,25,23,NULL,1109,548,858,NULL,21734,NULL,NULL,44596,NULL,33500,33500,NULL,12340,0.875,19.80932203,3.75,PrivacySuppressed,302,47200,40400,PrivacySuppressed,207,32600,30600,40,43,124,35,199,16,206,42100,29200,PrivacySuppressed,224,43100,38200,23,271,46800,34100,1
Cloyd's Beauty School 1 Inc,West Monroe,LA,71291-0603,1,1,1,3,22,5,32.499877,-92.126977,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,23,NULL,3888,10332,NULL,NULL,8055,NULL,NULL,6975,4736,NULL,27.98148148,4.239999771,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13,PrivacySuppressed,16,38,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15,32,PrivacySuppressed,PrivacySuppressed,3
Crescent City Bartending School,New Orleans,LA,70119,1,1,1,3,22,5,29.966614,-90.086573,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,405,140,NULL,14322,8995,NULL,NULL,17232,NULL,NULL,10950,3065,NULL,31.24907407,4.190000057,249,626,25200,21400,160,578,25100,22300,443,106,29,25,47,256,784,26100,19900,275,796,27600,24100,212,537,25200,19000,3
D'Jay's School of Beauty Arts and Sciences,Baton Rouge,LA,70815,1,1,1,3,22,5,30.462232,-91.071568,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,62,NULL,19158,16425,NULL,NULL,24728,NULL,NULL,13300,12959,NULL,27,4.590000153,27,76,19500,15500,PrivacySuppressed,73,17500,15700,64,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16,81,16100,13200,PrivacySuppressed,65,16700,16000,23,76,20500,18200,3
Delgado Community College,New Orleans,LA,70119,1,1,2,1,22,5,29.985149,-90.103962,4,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16074,12784,7787,NULL,NULL,NULL,12988,NULL,3695,7685,NULL,3357,0.399,25.86112175,4.309999943,1012,4813,32200,27600,366,2314,28300,24700,1659,487,168,883,1144,826,4638,28800,21100,878,4883,29900,25800,831,3952,32400,23800,2
Delta School of Business and Technology,Lake Charles,LA,70601,1,2,2,3,22,5,30.228743,-93.214285,8,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,208,308,NULL,18341,NULL,NULL,22783,NULL,9685,9685,NULL,6433,1,27.39705882,4.289999962,143,418,24300,17800,79,356,19400,17600,321,31,PrivacySuppressed,65,94,100,361,21300,18900,106,348,20900,16300,146,367,22500,21300,2
Demmons School of Beauty,Lake Charles,LA,70607,1,1,1,3,22,5,30.222689,-93.21874,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,96,NULL,8900,12362,NULL,NULL,12681,NULL,NULL,6112,5849,NULL,26.71428571,4.369999886,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16,45,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18,50,17000,11500,3
Denham Springs Beauty School,Denham Springs,LA,70726,1,1,1,3,22,5,30.484636,-90.944774,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,47,NULL,8639,11652,NULL,NULL,12507,NULL,NULL,12500,7173,NULL,25.29126214,3.230000019,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22,34,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,50,17300,14000,13,32,PrivacySuppressed,PrivacySuppressed,3
Dillard University,New Orleans,LA,70122,1,3,3,2,22,5,29.996468,-90.065348,21,10,10,0.4059,440,430,NULL,19,19,18,NULL,886,1200,1953,NULL,15138,NULL,NULL,26606,NULL,16252,16252,NULL,12186,0.869,20.23842917,5.179999828,99,828,36100,32800,33,309,26500,23700,175,89,45,146,278,82,680,28100,18600,74,630,31400,28800,76,725,35700,23600,1
Nunez Community College,Chalmette,LA,70043,1,1,2,1,22,5,29.95419,-89.95888,9,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1682,1884,8880,NULL,NULL,NULL,13676,NULL,3590,6954,NULL,1558,0.1132,26.77561608,4.090000153,327,1005,28200,24200,91,347,30500,24700,268,62,PrivacySuppressed,152,141,295,999,27200,24200,291,1019,29100,25700,282,876,28300,22600,2
Grambling State University,Grambling,LA,71245,1,3,4,1,22,5,32.522702,-92.717367,18,11,14,0.4395,420,440,NULL,18,18,18,NULL,868,3520,4289,14656,NULL,NULL,NULL,21692,NULL,6525,15744,NULL,4543,0.6186,21.56501306,5.360000134,198,1429,32800,28400,163,1493,24600,20000,922,405,166,693,1269,187,1335,26600,20100,217,1618,28100,23800,172,1394,31900,34900,1
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,71105,1,1,1,3,22,5,32.483496,-93.705504,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,65,NULL,12924,20940,NULL,NULL,15611,NULL,NULL,13500,15460,NULL,24.75555556,4.949999809,45,107,18400,15300,38,109,17900,16100,75,PrivacySuppressed,PrivacySuppressed,18,40,40,107,19900,15500,41,110,19700,17600,35,77,17800,16600,3
ITI Technical College,Baton Rouge,LA,70817,1,2,2,3,22,5,30.36782,-91.026082,11,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,691,320,NULL,18438,35200,NULL,22045,NULL,10575,10575,NULL,8345,1,25.959799,3.640000105,89,449,55200,46100,48,459,46500,38400,232,143,84,63,203,64,430,49500,34200,62,385,54100,48800,73,350,48500,35400,2
John Jay Beauty College,New Orleans,LA,70124,1,1,1,3,22,5,30.01925,-90.107891,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,72,NULL,2454,6252,NULL,NULL,7658,NULL,NULL,10200,7976,NULL,25.48717949,4.079999924,36,103,20400,16300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20,PrivacySuppressed,34,101,19600,14600,34,115,18300,14300,42,89,21400,16100,3
John Jay Beauty College,Kenner,LA,70062,1,1,1,3,22,5,30.00734,-90.230327,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,25,NULL,8571,15552,NULL,NULL,11652,NULL,NULL,10200,10185,NULL,26.53571429,3.700000048,PrivacySuppressed,60,18900,15200,28,99,19000,17100,80,PrivacySuppressed,PrivacySuppressed,17,37,22,76,21200,15100,PrivacySuppressed,72,21300,17600,21,49,PrivacySuppressed,PrivacySuppressed,3
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,70112-2223,1,3,4,1,22,5,29.957272,-90.083145,25,7,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,911,767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12642,NULL,27.04565217,3.720000029,35,409,85600,63700,PrivacySuppressed,376,73700,58200,196,75,105,24,164,18,422,76900,61000,26,397,83000,61200,29,399,69100,46800,1
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,1,3,4,1,22,5,31.178616,-92.414409,21,9,9,0.5455,455,485,420,21,22,20,NULL,987,2244,2386,10088,NULL,NULL,NULL,15182,NULL,6009,12868,NULL,4864,0.5504,23.49958437,3.960000038,233,1135,35100,32200,159,914,29800,26400,519,254,141,188,455,177,1125,32000,22000,190,1085,32200,28300,176,1000,34400,24300,1
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,1,3,4,1,22,5,30.414983,-91.178921,15,14,16,0.7663,550,570,NULL,26,27,25,NULL,1161,24452,26121,11958,NULL,NULL,NULL,21846,NULL,8750,26467,NULL,10082,0.752,20.39357741,3.650000095,553,5453,54300,45800,288,3785,42200,37500,1270,985,1530,795,3102,368,4796,45800,42500,409,5051,50000,42700,484,5323,51800,49400,1
Louisiana State University-Eunice,Eunice,LA,70535,1,2,2,1,22,5,30.473292,-92.434523,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2406,2704,7884,NULL,NULL,NULL,12134,NULL,3522,8886,NULL,2727,0.6264,22.13960834,4.489999771,234,1374,36400,31000,163,1056,30600,26000,636,285,135,422,714,219,1463,30800,23200,253,1457,32100,28100,204,1157,35700,29100,2
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,1,3,4,1,22,5,32.428768,-93.703762,19,7,9,0.7667,NULL,490,505,23,24,22,NULL,1050,2640,3422,7717,NULL,NULL,NULL,15753,NULL,6168,6168,NULL,4180,0.3377,24.94634526,4.639999866,176,1003,39500,35800,115,837,33000,29700,426,229,182,192,466,156,1021,35300,24000,169,1054,36900,32200,150,975,38700,27200,1
Aveda Institute-Baton Rouge,Baton Rouge,LA,70816-2246,1,1,1,3,22,5,30.425546,-91.053805,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210,75,NULL,19513,15744,NULL,NULL,22424,NULL,NULL,18000,12615,NULL,23.01492537,3.25,56,120,20400,16100,32,126,22700,19900,48,27,51,17,88,54,119,21800,16400,37,105,23700,20700,26,89,22800,19800,3
Aveda Institute-Lafayette,Lafayette,LA,70503-3246,1,1,1,3,22,5,30.206168,-92.042092,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,79,NULL,13648,17652,NULL,NULL,16650,NULL,NULL,18000,13063,NULL,24.48387097,4.119999886,35,97,20100,17700,PrivacySuppressed,99,21000,18100,58,PrivacySuppressed,PrivacySuppressed,24,55,46,107,20900,20400,35,119,20800,17500,16,71,20000,15300,3
Louisiana Academy of Beauty,Eunice,LA,70535,1,1,1,3,22,5,30.49566,-92.41062,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,49,NULL,12648,11804,NULL,NULL,17517,NULL,NULL,11150,3184,NULL,23.42307692,4.170000076,26,68,16400,13700,PrivacySuppressed,50,15000,14500,37,PrivacySuppressed,PrivacySuppressed,17,PrivacySuppressed,20,61,14300,10200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,30,65,16200,15100,3
Louisiana College,Pineville,LA,71359,1,3,4,2,22,5,31.322286,-92.425567,19,12,11,0.6106,NULL,NULL,NULL,21,21,20,NULL,990,957,1125,NULL,12925,NULL,NULL,22060,NULL,14570,14570,NULL,9880,0.7723,21.41133455,3.819999933,57,343,43000,39100,29,312,36900,34600,112,87,113,56,251,37,317,39300,22600,43,353,40500,37100,49,414,42100,27500,1
Opelousas School of Cosmetology,Opelousas,LA,70570,1,1,1,3,22,5,30.531104,-92.078121,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,51,NULL,9209,9156,NULL,NULL,12736,NULL,NULL,9500,811,NULL,24.96296296,4.53000021,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17,53,16200,10400,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13,39,PrivacySuppressed,PrivacySuppressed,3
Louisiana Tech University,Ruston,LA,71272,1,3,4,1,22,5,32.525518,-92.64964,17,12,12,0.6503,520,550,NULL,24,25,23,NULL,1104,7272,8921,9514,NULL,NULL,NULL,17862,NULL,8052,22635,NULL,6473,0.5175,20.78003384,4.519999981,344,2383,47700,40700,189,1775,37300,32800,663,510,602,403,1403,233,2341,40200,39700,268,2181,42900,37400,267,2176,44800,41400,1
Loyola University New Orleans,New Orleans,LA,70118-6143,1,3,4,2,22,5,29.936141,-90.120417,18,14,13,0.9025,575,545,NULL,25,27,23,NULL,1135,2734,3688,NULL,24771,NULL,NULL,49791,NULL,36630,36630,NULL,18553,0.7758,20.20943396,3.420000076,131,992,47800,43300,75,606,35100,31600,165,131,310,98,508,104,845,40300,27000,101,868,43300,39800,107,945,45600,33700,1
McNeese State University,Lake Charles,LA,70605,1,3,4,1,22,5,30.180762,-93.215648,18,13,12,0.7527,495,540,NULL,22,23,22,NULL,1030,6597,6703,9370,NULL,NULL,NULL,15951,NULL,6334,17404,NULL,4780,0.5412,22.08067853,4.150000095,344,2021,43100,36200,179,1643,34200,31200,753,466,424,484,1177,255,2007,36200,33200,304,2303,37800,32700,266,1875,40600,30600,1
University of New Orleans,New Orleans,LA,70148,1,3,4,1,22,5,30.028539,-90.068506,16,9,12,0.4357,565,585,NULL,23,24,23,NULL,1082,6742,12260,8409,NULL,NULL,NULL,16889,NULL,7392,21002,NULL,7792,0.458,22.71606476,4.050000191,570,3570,42000,38200,196,1589,32600,28300,843,467,279,588,1082,396,2997,35400,25600,440,3137,36600,32100,506,3413,40500,32700,1
Nicholls State University,Thibodaux,LA,70310,1,3,4,1,22,5,29.792689,-90.802906,19,12,12,0.8837,500,555,455,22,21,20,NULL,1031,5513,6556,10195,NULL,NULL,NULL,16954,NULL,7234,17481,NULL,5254,0.7174,22.13025032,3.940000057,246,1939,41200,35000,158,1419,36100,31100,613,388,418,525,1124,225,1834,35100,27700,262,1973,37400,32900,222,1713,39200,36700,1
University of Louisiana at Monroe,Monroe,LA,71209-0000,1,3,4,1,22,5,32.527957,-92.073855,17,11,13,0.7722,NULL,555,490,22,23,21,NULL,1030,5799,8033,8920,NULL,NULL,NULL,16310,NULL,6963,19121,NULL,6327,0.4518,21.45505171,4.789999962,301,2176,45200,36600,222,2065,35100,28900,1044,566,455,681,1517,296,2305,40100,34100,337,2687,41300,33400,276,2147,41000,33000,1
Northwest Louisiana Technical College,Minden,LA,71055-0000,1,1,2,1,22,5,32.586426,-93.269351,9,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1827,755,6445,NULL,NULL,NULL,11766,NULL,2566,6334,NULL,599,0.1649,27.24891462,4.699999809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1155,NULL,1445,5913,27200,20700,NULL,NULL,NULL,NULL,885,3465,29700,22000,2
Notre Dame Seminary Graduate School of Theology,New Orleans,LA,70118-4391,1,4,4,2,22,5,29.958077,-90.114185,24,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33733,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,1,3,4,1,22,5,31.750675,-93.097715,18,9,12,0.7298,490,500,NULL,22,23,21,NULL,1027,6828,8270,11446,NULL,NULL,NULL,17659,NULL,6863,17651,NULL,5838,0.6941,23.9407612,4.420000076,565,3343,38500,33900,290,2142,33100,29200,980,687,475,682,1374,480,3177,33000,29400,520,3106,34300,29700,459,2991,38300,27300,1
University of Holy Cross,New Orleans,LA,70131-7399,1,3,4,2,22,5,29.912539,-89.997055,22,5,6,0.5618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,846,1151,NULL,10131,NULL,NULL,15775,NULL,10310,10310,NULL,13551,0.3109,26.00930233,4.03000021,50,369,43900,40200,26,259,40500,40200,116,75,68,32,141,39,359,41400,25900,44,372,37100,36500,41,318,41500,24600,1
Our Lady of the Lake College,Baton Rouge,LA,70808,1,2,4,2,22,5,30.40019,-91.110471,26,5,9,0.726,NULL,NULL,NULL,22,23,21,NULL,1010,1551,1053,NULL,18950,NULL,NULL,23323,NULL,11144,11144,NULL,12893,0.2205,26.99871795,3.75999999,107,812,45800,43700,62,642,43500,41400,291,161,190,45,272,70,775,45300,23400,79,807,44600,42800,70,682,45300,27800,1
Pat Goins Benton Road Beauty School,Bossier City,LA,71111,1,1,1,3,22,5,32.516132,-93.71635,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,23,NULL,9192,20856,NULL,NULL,13910,NULL,NULL,13965,212,NULL,27.25,4.489999771,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11,PrivacySuppressed,10,33,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13,36,PrivacySuppressed,PrivacySuppressed,3
Celebrity Stylist Beauty School,Monroe,LA,71201-5135,1,1,1,3,22,5,32.522115,-92.086177,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,12,NULL,13887,20388,NULL,NULL,18571,NULL,NULL,13500,4415,NULL,27.74545455,5.119999886,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,19,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,29,PrivacySuppressed,PrivacySuppressed,3
Pat Goins Ruston Beauty School,Ruston,LA,71270,1,1,1,3,22,5,32.528018,-92.639693,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,9034,21504,NULL,NULL,12198,NULL,NULL,13965,4704,NULL,24.91489362,5.809999943,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,10,22,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,32,PrivacySuppressed,PrivacySuppressed,3
Pineville Beauty School,Pineville,LA,71360-0000,1,1,1,3,22,5,31.325645,-92.43115,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,64,NULL,8615,17355,NULL,NULL,13783,NULL,NULL,11610,2727,NULL,23.74647887,4.010000229,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17,42,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13,30,PrivacySuppressed,PrivacySuppressed,3
Aveda Institute-Covington,Covington,LA,70433,1,1,1,3,22,5,30.494047,-90.104224,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1587,138,NULL,19597,17712,NULL,NULL,22626,NULL,NULL,18000,23853,NULL,24.71428571,3.269999981,96,235,22400,17700,133,587,24900,21800,266,160,161,61,299,86,308,22400,17300,119,427,22800,19800,70,170,23100,18800,3
Saint Joseph Seminary College,St. Benedict,LA,70457,1,3,3,2,22,5,30.526778,-90.113621,24,11,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126,194,NULL,26401,NULL,NULL,32125,NULL,16598,16598,NULL,19233,0.3148,22.48387097,3.380000114,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Vanguard College of Cosmetology-Slidell,Slidell,LA,70458-0458,3,1,1,3,22,5,30.228064,-89.778542,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,55,NULL,12623,21252,NULL,NULL,15321,NULL,NULL,16550,7724,NULL,23.18,3.309999943,PrivacySuppressed,53,17500,14300,26,76,17000,14700,56,PrivacySuppressed,PrivacySuppressed,13,27,25,56,15000,14600,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11,37,PrivacySuppressed,PrivacySuppressed,3
South Louisiana Beauty College,Houma,LA,70363,1,1,1,3,22,5,29.592736,-90.696282,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,98,NULL,12572,16500,NULL,NULL,15877,NULL,NULL,13390,3160,NULL,23.07894737,3.450000048,30,68,15800,14100,28,57,14600,12400,43,PrivacySuppressed,PrivacySuppressed,13,PrivacySuppressed,29,67,14100,11900,33,59,13900,12100,40,65,14800,13900,3
Fletcher Technical Community College,Schriever,LA,70395,1,1,2,1,22,5,29.690912,-90.812657,9,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1642,950,9305,NULL,NULL,NULL,14034,NULL,3596,6806,NULL,3434,0.5778,23.56027001,3.460000038,PrivacySuppressed,95,32400,30000,73,334,27200,22200,265,66,PrivacySuppressed,106,179,57,156,29100,18900,72,237,30300,25100,15,67,34600,22100,2
Remington College-Lafayette Campus,Lafayette,LA,70508,18,1,2,2,22,5,30.168681,-92.023791,9,4,1,0.7416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340,472,NULL,22291,NULL,22423,27213,NULL,15995,15995,NULL,11369,NULL,27.52729781,4.289999962,258,800,23100,20200,415,1574,18500,17100,1249,232,93,181,321,320,1389,24300,18300,442,1359,21200,19600,213,983,27800,21800,2
SOWELA Technical Community College,Lake Charles,LA,70616,1,1,2,1,22,5,30.217331,-93.16252,7,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2810,1243,7542,NULL,NULL,NULL,13135,NULL,3662,6590,NULL,2252,0.312,25.07253086,4.159999847,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,85,484,37000,29500,289,137,58,113,221,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,68,326,36200,28000,44,200,34800,26000,2
Stevensons Academy of Hair Design,New Orleans,LA,70114,1,1,1,3,22,5,29.948489,-90.052369,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,232,NULL,9810,22720,NULL,NULL,14775,NULL,NULL,13000,3254,NULL,27.34065934,5.179999828,38,140,18300,14500,25,53,18600,16100,44,PrivacySuppressed,PrivacySuppressed,33,PrivacySuppressed,33,133,16200,11800,50,125,17400,14400,49,159,19100,13000,3
Southeastern Louisiana University,Hammond,LA,70402,1,3,4,1,22,5,30.51358,-90.468558,18,12,15,0.8373,NULL,NULL,NULL,22,23,21,NULL,1030,11199,12916,10022,NULL,NULL,NULL,16136,NULL,6547,19111,NULL,4772,0.5027,21.02192067,3.720000029,602,3880,39200,34800,307,3052,32500,29600,1386,818,848,907,2383,501,3603,34200,23300,469,3692,36500,33300,518,3383,37600,30900,1
Southern University and A & M College,Baton Rouge,LA,70813,1,3,4,1,22,5,30.524558,-91.190105,18,11,13,0.5365,NULL,470,NULL,19,19,19,NULL,910,5133,7769,12106,NULL,NULL,NULL,18882,NULL,6630,8274,NULL,4727,0.6914,21.66922052,4.809999943,228,2249,37200,33100,177,1862,28900,24100,1159,489,214,919,1497,184,1892,31000,21400,178,2149,32800,28200,296,2526,34700,34800,1
Southern University at New Orleans,New Orleans,LA,70126,1,3,4,1,22,5,30.02669,-90.044379,19,7,10,0.207,445,390,410,17,17,17,NULL,806,1658,3573,7711,NULL,NULL,NULL,10300,NULL,5218,6517,NULL,3783,0.375,26.74709302,5.059999943,190,980,31600,29200,81,523,23300,21300,429,78,PrivacySuppressed,302,286,147,854,27100,19000,164,976,27500,25200,185,1070,29900,19700,1
Southern University at Shreveport,Shreveport,LA,71107,1,2,2,1,22,5,32.545632,-93.834559,4,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2683,1176,8783,NULL,NULL,NULL,13670,NULL,3634,3634,NULL,918,0.3585,23.35362211,5.75,177,854,26300,22000,124,887,26300,22000,741,134,PrivacySuppressed,321,327,175,962,25500,20600,183,1148,26600,22300,116,673,26700,19700,2
University of Louisiana at Lafayette,Lafayette,LA,70503,1,3,4,1,22,5,30.215283,-92.01941,16,13,15,0.558,530,540,NULL,23,24,23,NULL,1070,14667,14091,8588,NULL,NULL,NULL,16112,NULL,6872,19272,NULL,5702,0.6555,22.46501084,4.340000153,486,3508,42900,37300,295,3090,34500,31000,1347,845,898,883,2435,385,3362,36100,33500,443,3722,39600,35200,356,3209,41400,29100,1
